aircraft_id,tail_number,msn,aircraft_type,airline,mro_base,manufacture_year,total_flight_hours,total_cycles,last_c_check_date,engine_health_score,airframe_condition
AC015,VT-BW38,MSN-34535,Boeing 737-800,TransAtlantic Air,Mumbai Hangar,2009,74822,24121,02-May-23,70.3,good
AC016,VT-EL53,MSN-50428,Airbus A321ceo,AeroNova,Bangalore Facility,2011,57296,16408,25-Mar-23,64.7,Good
AC017,VT-EV71,MSN-45080,Boeing 737-800,SkyWing Airlines,Mumbai Hangar,2013,82128,37770,09-10-2023,62.6,Excellent
AC018,VT-EE31,MSN-48250,Airbus A320neo,AeroNova,Bangalore Facility,2009,68624,31708,08-Aug-23,69.5,Poor
AC019,VT-NI99,MSN-36352,Airbus A321ceo,SkyWing Airlines,Delhi MRO Hub,2011,61498,25599,03-Jun-24,86.3,FAIR
AC020,VT-DX81,MSN-52236,Boeing 737-800,TransAtlantic Air,Bangalore Facility,2008,19322,8692,05-04-2023,67.2,Poor
AC021,VT-CI21,MSN-59041,Boeing 737 MAX,SkyWing Airlines,Delhi MRO Hub,2021,77132,39224,08-07-2023,96.1,Good
AC022,VT-ZJ91,MSN-61546,Boeing 737 MAX,TransAtlantic Air,Delhi MRO Hub,2014,33016,10096,18-06-2022,98.4,Fair
AC023,VT-VR90,MSN-61894,Airbus A321ceo,TransAtlantic Air,Chennai Base,2012,25289,11912,01-Mar-22,62.4,Fair
AC024,VT-MW92,MSN-62954,Boeing 737-800,TransAtlantic Air,Delhi MRO Hub,2008,74615,36087,24-03-2022,83.2,FAIR
AC025,VT-DN77,MSN-46135,Boeing 737 MAX,SkyWing Airlines,Chennai Base,2014,80880,28775,06-Mar-23,82,Fair
AC026,VT-ZE22,MSN-45642,Airbus A320neo,PacificJet,Hyderabad Tech Centre,2011,39814,16100,04-11-2022,96.2,Excellent
AC027,VT-GJ64,MSN-34801,Boeing 737-800,SkyWing Airlines,Mumbai Hangar,2015,75468,34900,24-12-2022,74.4,Good
AC028,VT-ER95,MSN-64664,Airbus A321ceo,PacificJet,Mumbai Hangar,2021,6025,2052,11-11-2023,70.3,Excellent
AC029,VT-OZ68,MSN-48465,Boeing 787-9,PacificJet,Hyderabad Tech Centre,2010,84276,39051,05-Dec-23,79.7,Fair
AC030,VT-VI82,MSN-48132,Boeing 737-800,TransAtlantic Air,Mumbai Hangar,2009,10778,5967,15-10-2023,88.9,good
AC031,VT-RT79,MSN-37331,Airbus A321ceo,SkyWing Airlines,Delhi MRO Hub,2016,14862,4362,02-Jun-22,92.5,good
AC032,VT-VJ62,MSN-38352,Boeing 787-9,TransAtlantic Air,Hyderabad Tech Centre,2010,10482,4510,26-03-2024,68.2,Good
AC033,VT-OT45,MSN-40128,Boeing 737-800,TransAtlantic Air,Bangalore Facility,2013,36029,11018,10-04-2024,61,FAIR
AC034,VT-HD06,MSN-46263,Airbus A320neo,TransAtlantic Air,Bangalore Facility,2020,39970,19303,27-01-2023,68.7,Poor
AC035,VT-YW47,MSN-44609,Airbus A320neo,AeroNova,Hyderabad Tech Centre,2012,8101,2772,13-10-2022,73.7,good
AC036,VT-LG57,MSN-31808,Airbus A321ceo,PacificJet,Delhi MRO Hub,2018,20118,6113,18-08-2023,64.2,Poor
AC037,VT-WX63,MSN-58599,Airbus A320neo,PacificJet,Hyderabad Tech Centre,2019,84457,24316,14-08-2023,61.7,Poor
AC038,VT-GY99,MSN-53869,Boeing 737-800,AeroNova,Hyderabad Tech Centre,2016,61531,32064,05-Dec-22,85.9,Excellent
AC039,VT-JX23,MSN-56764,Airbus A320neo,PacificJet,Bangalore Facility,2016,47753,19223,11-05-2022,85.9,Poor
AC040,VT-GD19,MSN-56612,Boeing 737 MAX,PacificJet,Chennai Base,2017,76819,23876,04-08-2022,83.7,Fair
