work_order_id,aircraft_id,primary_part_id,lead_technician_id,wo_type,status,open_date,close_date,planned_duration_days,actual_duration_days,delay_days,delay_reason,labour_hours,labour_cost_inr,parts_cost_inr,overhead_cost_inr,defect_code,ata_chapter,findings_summary,nrc_raised
WO000011,AC015,PT0274,TEC041,Unscheduled AOG,Closed,2024-10-15,2024-10-19,3,4,1.0,No Delay,35.4,134136.85,2919288.28,609083.12,DFT-07DH,70,Quite student want field use million task away there possible.,False
WO000012,AC036,PT0094,TEC044,Component Overhaul,Closed,2024-01-05,2024-02-11,25,37,12.0,Weather Hold,223.5,799137.58,2795657.74,465088.89,DFT-50IF,77,Choice anything Mr scientist deal wait wonder record true forget sign.,False
WO000013,AC008,PT0241,TEC004,Scheduled C-Check,Closed,2022-07-02,2022-08-05,40,34,0.0,No Delay,439.6,1155765.65,3942571.28,678750.33,DFT-87CD,75,Over year least western Republican few then manage pull experience until begin technology key.,True
WO000014,AC013,PT0176,TEC027,Scheduled C-Check,In Progress,2024-08-25,,40,27,0.0,No Delay,389.1,1101350.23,1498795.21,274071.44,DFT-53JC,56,Compare day share west language exactly carry.,False
wo000015,AC018,PT0108,TEC049,Unscheduled AOG,Cancelled,2022-10-21,,3,2,0.0,No Delay,26.7,83209.7,3158853.53,381533.87,DFT-87JC,69,Indicate prepare field most commercial where local.,True
wo000016,AC035,PT0103,TEC047,Line Maintenance,Cancelled,2022-11-21,,4,2,0.0,No Delay,11.1,32978.33,2152754.52,312346.79,DFT-13BB,43,Fall site couple level physical environment pressure including federal room anything.,True
WO000017,AC025,PT0258,TEC038,Component Overhaul,Closed,2023-10-22,2023-11-01,25,10,0.0,No Delay,121.2,423237.03,1251627.38,283642.43,DFT-69EE,39,Particular heavy significant than soon even because if which page.,True
WO000018,AC032,PT0184,TEC049,Scheduled A-Check,Closed,2022-05-14,2022-05-24,12,10,0.0,No Delay,94.7,303492.54,2625347.04,419897.55,DFT-67HI,32,Husband wait style him start full clear front change.,True
WO000019,AC003,PT0193,TEC057,Scheduled A-Check,Closed,2024-04-06,2024-04-15,12,9,0.0,No Delay,114.5,246662.27,3673042.33,623112.63,DFT-10DD,60,Place if spend reflect final safe number over poor.,False
WO000020,AC008,PT0281,TEC017,Component Overhaul,Closed,2024-12-31,2025-01-29,25,29,4.0,No Delay,462.1,1657700.0,3271302.42,502630.96,DFT-92IC,50,Commercial policy member candidate professional meeting indicate.,True
WO000021,AC007,PT0262,TEC047,Modification SB,Deferred,2023-02-25,,9,13,4.0,No Delay,53.5,157094.88,513889.44,102010.37,DFT-31IC,59,Foot type claim especially know entire whatever defense against school.,True
WO000022,AC027,PT0152,TEC011,Scheduled A-Check,Cancelled,2023-08-02,,12,7,0.0,No Delay,69.8,240412.48,3892014.99,756853.6,DFT-35HF,22,Most not safe prove drug game medical whole over leader necessary.,False
WO000023,AC006,PT0262,TEC005,Modification SB,Closed,2023-03-02,2023-03-10,9,8,0.0,No Delay,54.5,99976.07,454124.17,61529.0,DFT-92HC,66,Music person husband part source less week hour far structure.,True
wo000024,AC019,PT0185,TEC052,Modification SB,Closed,2023-06-09,2023-06-19,9,10,1.0,No Delay,158.6,412242.62,2326744.01,301236.19,DFT-12DD,63,Government long add available few newspaper bit possible someone senior dark activity.,False
WO000025,AC029,PT0138,TEC057,Modification SB,Closed,2024-05-22,2024-05-26,9,4,0.0,No Delay,56.9,239195.56,58264.92,33862.74,DFT-16HC,66,Glass total foot sound ready task follow service management.,True
WO000026,AC011,PT0058,TEC009,Unscheduled AOG,Closed,2024-02-03,2024-02-04,3,1,0.0,No Delay,8.8,38704.48,1366447.12,194714.03,DFT-55JJ,64,Close skill operation evening white paper husband message.,True
WO000027,AC009,PT0248,TEC059,Scheduled A-Check,Closed,2022-11-23,2022-12-08,12,15,3.0,No Delay,146.9,490080.03,2196432.4,432883.97,DFT-84GG,51,Individual him north over road country type difference.,True
WO000028,AC037,PT0115,TEC043,Line Maintenance,Closed,2024-04-22,2024-04-24,4,2,0.0,No Delay,14.3,37872.73,3525795.2,597958.15,DFT-25AG,75,Almost stock federal detail character can raise discuss eat prepare explain base lose.,False
WO000029,AC036,PT0028,TEC001,Component Overhaul,Deferred,2024-11-29,,25,32,7.0,Awaiting Inspection Sign-off,365.4,1084759.09,3635993.32,699582.31,DFT-70JB,61,Model during notice minute but conference one.,True
WO000030,AC036,PT0194,TEC026,Line Maintenance,Cancelled,2024-11-01,,4,8,3.5,Awaiting Inspection Sign-off,115.5,231246.73,2463323.33,334366.99,DFT-27JG,72,Unit than paper top whom article perform heart.,True
wo000031,AC027,PT0019,TEC036,Line Maintenance,Closed,2022-06-11,2022-06-19,4,8,3.5,No Delay,40.4,127091.6,1587147.02,339534.23,DFT-62CI,55,Produce song dark coach indeed rule stuff case cost job.,True
WO000032,AC015,PT0233,TEC022,Component Overhaul,In Progress,2022-07-06,,25,30,5.0,Part AOG,229.7,728725.98,1042187.73,296003.69,DFT-71IG,55,Accept class hotel traditional enter write expect.,False
WO000033,AC036,PT0268,TEC024,Modification SB,Closed,2024-01-15,2024-01-19,9,4,0.0,No Delay,20.7,74086.49,20962.77,12880.5,DFT-55EB,64,Worker allow teacher identify system if tree treat pressure far raise.,True
WO000034,AC026,PT0111,TEC030,Scheduled C-Check,Closed,2022-04-04,2022-05-02,40,28,0.0,No Delay,388.1,1476634.89,2051961.68,442588.1,DFT-90AH,72,Box in mother quickly speak yes woman.,True
WO000035,AC038,PT0259,TEC009,Scheduled A-Check,Cancelled,2023-11-24,,12,12,0.0,No Delay,54.7,191983.28,3363987.44,399413.46,DFT-32FI,51,Animal simple image particular learn hair.,True
WO000036,AC038,PT0089,TEC047,Modification SB,Closed,2024-12-22,2025-01-02,9,11,2.0,No Delay,167.5,680854.59,2419830.5,467686.53,DFT-16BJ,72,Seat half development once miss position poor.,True
WO000037,AC022,PT0151,TEC029,Line Maintenance,Deferred,2022-08-01,,4,6,1.5,No Delay,60.3,171166.92,4897708.79,971151.09,DFT-76AD,71,Action on street evidence hard clearly.,True
WO000038,AC014,PT0149,TEC044,Line Maintenance,In Progress,2022-10-10,,4,5,0.5,No Delay,70.6,231502.77,1576414.87,314002.51,DFT-24GB,42,Choice set risk produce game operation daughter response happen recently.,True
WO000039,AC027,PT0274,TEC019,Component Overhaul,In Progress,2022-12-31,,25,32,7.0,Weather Hold,372.6,1385309.05,3806267.37,811069.71,DFT-60IJ,76,Exactly area help nor sort marriage energy risk defense skill.,False
WO000040,AC017,PT0075,TEC054,Component Overhaul,Closed,2022-01-27,2022-02-06,25,10,0.0,No Delay,85.7,166538.71,292457.82,58153.86,DFT-86GC,23,Win cup soon drop political both.,False
WO000041,AC036,PT0200,TEC016,Component Overhaul,Closed,2023-02-22,2023-03-15,25,21,0.0,No Delay,289.1,600372.82,4341496.51,859634.45,DFT-26AA,52,Trouble quality lawyer trouble most thank difference create current kid eight begin.,False
WO000042,AC040,PT0227,TEC054,Line Maintenance,Closed,2022-04-07,2022-04-14,4,7,2.5,No Delay,108.4,480723.79,"₹1,570,143.36",318320.13,DFT-88HA,34,By action difficult car team business laugh water culture perhaps war really.,False
WO000043,AC003,PT0220,TEC018,Modification SB,Closed,2023-02-07,2023-02-14,9,7,0.0,No Delay,65.7,292714.79,381600.28,132332.66,DFT-58BJ,55,Everybody technology program scientist main subject.,False
WO000044,AC040,PT0155,TEC032,Scheduled C-Check,In Progress,2022-09-24,,40,36,0.0,No Delay,146.4,447851.45,4688097.31,534108.16,DFT-02CC,70,As office next that major black little head song determine senior.,False
WO000045,AC006,PT0179,TEC015,Modification SB,Closed,2022-05-30,2022-06-10,9,11,2.0,No Delay,73.0,167640.6,350200.58,77942.37,DFT-91IC,76,Issue wrong hold customer never employee toward others kitchen majority science actually when.,True
WO000046,AC001,PT0059,TEC043,Unscheduled AOG,Closed,2023-11-11,2023-11-14,3,3,0.0,No Delay,19.9,76260.19,2657189.49,545769.06,DFT-20JJ,42,Sense realize fire hundred will able black thousand whatever citizen.,False
WO000047,AC017,PT0277,TEC047,Modification SB,In Progress,2023-05-08,,9,12,3.0,No Delay,83.1,158527.26,4429444.19,633769.81,DFT-13FH,38,Then thought window recognize compare real whose.,True
WO000048,AC011,PT0276,TEC035,Unscheduled AOG,In Progress,2024-11-24,,3,5,2.0,No Delay,46.7,89589.26,4492425.23,546410.9,DFT-30IE,20,American employee candidate road old go pressure race police.,True
WO000049,AC028,PT0037,TEC048,Modification SB,Deferred,2023-03-08,,9,15,6.0,Weather Hold,98.4,359218.45,4179968.74,547235.13,DFT-14AA,63,Treatment way make news food American miss blood its.,True
WO000050,AC017,PT0209,TEC025,Line Maintenance,Deferred,2022-02-18,,4,6,1.5,No Delay,26.7,53340.45,"₹898,180.90",119121.72,DFT-38GF,48,Since attack indicate law piece candidate him note interesting report.,False
WO000051,AC005,PT0184,TEC060,Unscheduled AOG,Closed,2024-06-05,2024-06-09,3,4,1.0,No Delay,48.3,156687.75,3210699.5,544960.9,DFT-90CD,52,Hair remember score actually hospital participant good.,True
WO000052,AC035,PT0113,TEC009,Modification SB,Closed,2023-08-17,2023-08-29,9,12,3.0,No Delay,60.5,233907.55,2194003.99,338721.16,DFT-18DA,67,Rather college imagine study week return present.,False
WO000053,AC036,PT0285,TEC010,Modification SB,Closed,2023-08-28,2023-09-04,9,7,0.0,No Delay,84.9,362374.94,3977135.44,750442.2,DFT-80EA,27,Movie your news world network result.,True
WO000054,AC027,PT0263,TEC010,Component Overhaul,In Progress,2022-01-11,,25,22,0.0,No Delay,229.8,1001202.83,1530408.85,442600.81,DFT-12BA,30,Direction worker former instead employee determine today western yes send outside.,True
WO000055,AC036,PT0237,TEC042,Component Overhaul,Cancelled,2023-03-29,,25,18,0.0,No Delay,114.0,261021.99,4000303.67,789304.53,DFT-04AB,55,Value despite security doctor point remain.,True
WO000056,AC007,PT0146,TEC040,Modification SB,Closed,2023-08-19,2023-08-26,9,7,0.0,No Delay,36.2,136079.09,2441080.15,342981.48,DFT-54IJ,24,Ability executive grow page on team stay everybody easy receive situation decide collection.,True
WO000057,AC028,PT0087,TEC001,Line Maintenance,Closed,2023-10-13,2023-10-19,4,6,1.5,No Delay,68.4,179572.15,2925007.96,486038.16,DFT-62JJ,40,That minute much ball concern even activity event every wrong.,True
WO000058,AC020,PT0250,TEC036,Modification SB,Deferred,2023-03-30,,9,13,4.0,Engineering Query,120.0,488195.66,680186.1,202477.38,DFT-40EA,26,Chance network lose hard figure best knowledge body side light.,True
WO000059,AC033,PT0016,TEC053,Unscheduled AOG,Cancelled,2022-06-17,,3,2,0.0,No Delay,29.4,68512.77,3670387.64,608176.6,DFT-12JH,57,There production give student difficult hot.,False
WO000060,AC038,PT0149,TEC009,Scheduled A-Check,In Progress,2023-03-12,,12,10,0.0,No Delay,105.2,473038.75,2365798.71,503949.64,DFT-68FH,49,Thousand course score series capital hope firm wind Mr least sort.,True
WO000061,AC029,PT0082,TEC012,Unscheduled AOG,In Progress,2024-03-23,,3,1,0.0,No Delay,12.0,49074.61,4034634.88,659125.4,DFT-36BC,56,Hundred chance officer board who cost magazine dream can so watch.,True
WO000062,AC024,PT0199,TEC031,Unscheduled AOG,Closed,2024-09-17,2024-09-19,3,2,0.0,No Delay,26.3,63796.56,1329142.0,171891.22,DFT-77FD,78,Daughter fish public floor smile social fast group.,False
WO000063,AC037,PT0090,TEC025,Scheduled A-Check,Deferred,2022-04-06,,12,11,0.0,No Delay,57.6,254292.01,3171499.24,436272.91,DFT-78DF,61,Myself simply speech evidence player dark perhaps prevent imagine though recent discuss fish.,False
WO000064,AC023,PT0250,TEC051,Component Overhaul,Deferred,2024-01-19,,25,38,13.0,Manpower Shortage,533.0,1702929.58,1887880.62,684854.56,DFT-37CD,50,Avoid charge since require must administration treatment consider mouth likely group evening age.,True
WO000065,AC008,PT0118,TEC027,Scheduled C-Check,Closed,2024-10-24,2024-11-23,40,30,0.0,No Delay,202.8,646782.22,1411239.45,236721.97,DFT-08CH,71,Clearly involve will sister receive policy.,False
WO000066,AC011,PT0069,TEC041,Line Maintenance,Deferred,2022-08-21,,4,8,3.5,No Delay,78.0,264820.56,3239823.58,494469.96,DFT-36DA,52,Wall might even page without ground manage enjoy group side style.,True
WO000067,AC019,PT0044,TEC014,Scheduled A-Check,Closed,2022-10-28,2022-11-07,12,10,0.0,No Delay,150.7,481475.93,2033227.02,495206.29,DFT-43EC,48,Court none decade mean know environment something service tax station.,False
WO000068,AC022,PT0233,TEC039,Scheduled C-Check,Closed,2024-09-13,2024-10-29,40,46,6.0,Weather Hold,515.7,2034675.47,4104061.37,725527.58,DFT-05IG,57,Be memory power defense maybe whole itself.,True
WO000069,AC007,PT0091,TEC031,Line Maintenance,Closed,2023-04-16,2023-04-19,4,3,0.0,No Delay,15.9,37306.82,4299362.54,652390.99,DFT-16EA,77,Student machine together represent develop use magazine friend effect.,True
WO000070,AC028,PT0268,TEC027,Component Overhaul,Cancelled,2024-12-24,,25,13,0.0,No Delay,66.5,238093.94,"₹4,510,903.93",731006.59,DFT-65CD,43,Investment now city baby ok include music.,True
WO000071,AC028,PT0069,TEC017,Line Maintenance,Closed,2024-12-21,2024-12-29,4,8,3.5,Part AOG,107.8,305002.69,2949349.95,566711.03,DFT-03GE,50,Find offer live itself Democrat court million result work news.,True
WO000072,AC001,PT0193,TEC042,Unscheduled AOG,In Progress,2022-06-21,,3,5,2.0,No Delay,44.5,102810.87,3548652.7,653401.1,DFT-79JG,33,Physical region plant instead big they key perform million.,False
WO000073,AC026,PT0105,TEC027,Unscheduled AOG,Closed,2024-04-17,2024-04-19,3,2,0.0,No Delay,18.2,61525.09,1313901.44,211279.94,DFT-59BI,55,Finally trouble current election like officer store group enough might.,False
WO000074,AC008,PT0118,TEC029,Unscheduled AOG,In Progress,2023-01-02,,3,5,2.0,No Delay,49.0,218979.64,2892479.25,552033.32,DFT-76BC,70,Own model notice my whether current difficult figure coach own poor.,True
WO000075,AC001,PT0047,TEC053,Scheduled C-Check,In Progress,2022-07-25,,40,45,5.0,Weather Hold,604.5,2395213.42,"₹3,073,986.58",921321.99,DFT-47AH,29,Pressure rich maintain dog society during financial task turn rather science court fly.,False
WO000076,AC034,PT0147,TEC046,Scheduled A-Check,Closed,2024-06-10,2024-06-20,12,10,0.0,No Delay,66.6,134272.75,198399.14,46052.64,DFT-04DD,58,Wall rate subject record recognize really.,True
WO000077,AC033,PT0265,TEC045,Modification SB,Closed,2022-12-25,2023-01-04,9,10,1.0,No Delay,41.3,169186.8,4654484.75,732307.28,DFT-16DE,34,Four evening thing pick leader attorney head whose local.,True
WO000078,AC013,PT0266,TEC001,Unscheduled AOG,Closed,2022-03-15,2022-03-16,3,1,0.0,No Delay,15.7,31941.27,1386924.98,198560.92,DFT-95GF,67,Film open now study apply beat their operation together.,True
WO000079,AC030,PT0207,TEC037,Component Overhaul,Closed,2022-07-04,2022-08-06,25,33,8.0,Awaiting Inspection Sign-off,460.6,1967003.46,1746995.29,729164.79,DFT-31IB,20,Make other report another night account often feel major.,False
WO000080,AC035,PT0295,TEC017,Line Maintenance,In Progress,2022-12-25,,4,2,0.0,No Delay,21.4,67593.11,1706429.81,198159.96,DFT-70FE,64,Attorney public miss work TV interesting outside truth technology.,False
WO000081,AC008,PT0133,TEC005,Component Overhaul,Closed,2024-02-12,2024-03-17,25,34,9.0,No Delay,235.3,639329.88,3880238.04,760008.13,DFT-01IJ,44,Environmental present catch break put activity tree do employee together.,True
WO000082,AC022,PT0039,TEC036,Unscheduled AOG,Closed,2023-04-16,2023-04-19,3,3,0.0,No Delay,30.6,55883.33,4162563.45,526570.83,DFT-89GH,79,Now indeed whose road usually instead main wide yet wear southern.,True
WO000083,AC013,PT0121,TEC048,Unscheduled AOG,Closed,2024-09-02,2024-09-04,3,2,0.0,No Delay,29.5,74531.89,4736119.36,809684.23,DFT-97GG,35,Sea if defense thought save Congress a election student control positive.,False
WO000084,AC032,PT0004,TEC049,Scheduled C-Check,Closed,2023-02-28,2023-04-04,40,35,0.0,No Delay,491.3,1356613.87,"₹3,896,903.02",588330.06,DFT-07CB,74,Four than peace boy yeah administration peace his allow other land particular at.,True
WO000085,AC033,PT0144,TEC026,Unscheduled AOG,In Progress,2024-09-14,,3,3,0.0,No Delay,29.7,132476.12,4486028.87,863091.82,DFT-39CE,34,Leave rock tough one rich seven day natural page.,True
WO000086,AC008,PT0266,TEC030,Component Overhaul,Cancelled,2022-04-21,,25,23,0.0,No Delay,224.0,730256.45,2517351.31,452624.59,DFT-60CH,40,Body country while truth reach her act.,True
WO000087,AC031,PT0176,TEC024,Modification SB,Closed,2022-01-25,2022-02-03,9,9,0.0,No Delay,98.7,264385.49,3067762.7,419750.96,DFT-40FH,31,Top teach mission themselves former both project if attorney center heavy type name.,False
WO000088,AC007,PT0139,TEC052,Scheduled C-Check,Closed,2024-05-18,2024-06-30,40,43,3.0,No Delay,360.4,1038528.64,2259137.67,518198.49,DFT-71EE,35,Since serious beautiful this answer politics account hot traditional evidence.,False
WO000089,AC035,PT0162,TEC051,Scheduled C-Check,Closed,2024-02-20,2024-03-20,40,29,0.0,No Delay,280.6,512460.95,2113388.14,297895.14,DFT-02CH,51,Soon discussion hair character vote education for.,False
WO000090,AC007,PT0231,TEC048,Component Overhaul,Cancelled,2023-05-29,,25,28,3.0,No Delay,128.0,264605.69,825075.98,132447.25,DFT-20BH,41,Begin them people American power foreign future.,False
WO000091,AC013,PT0296,TEC037,Unscheduled AOG,In Progress,2024-01-10,,3,5,2.0,No Delay,75.9,189433.5,108978.31,33459.05,DFT-55CD,61,Arm fire institution point attack today side interest.,True
WO000092,AC010,PT0086,TEC041,Unscheduled AOG,Closed,2023-08-06,2023-08-11,3,5,2.0,No Delay,49.2,186400.14,4449265.92,640218.4,DFT-47HB,71,Already option answer candidate stand throw maintain this all recognize leave.,False
WO000093,AC018,PT0203,TEC018,Modification SB,In Progress,2024-05-13,,9,12,3.0,No Delay,106.3,451679.04,404768.52,115074.48,DFT-85JE,76,Professor type society wrong would ball responsibility field class.,False
WO000094,AC006,PT0108,TEC011,Modification SB,In Progress,2024-01-14,,9,11,2.0,No Delay,171.4,500105.86,927592.13,146067.94,DFT-56AG,45,Five gas discover everyone now rule future free sit Mrs join.,True
WO000095,AC006,PT0200,TEC020,Scheduled A-Check,Closed,2022-07-15,2022-07-29,12,14,2.0,No Delay,65.0,252298.87,2624674.13,574247.76,DFT-86IE,34,Wonder consumer whether what to behind.,True
WO000096,AC031,PT0240,TEC056,Line Maintenance,Deferred,2023-08-05,,4,3,0.0,No Delay,16.7,67868.77,152570.75,36671.2,DFT-55DJ,54,Design few glass official system visit behind.,False
WO000097,AC035,PT0159,TEC059,Scheduled C-Check,Deferred,2024-06-30,,40,54,14.0,Weather Hold,330.7,1128836.96,3158927.14,701414.38,DFT-89HC,42,Include over investment including raise behavior show.,False
WO000098,AC023,PT0147,TEC031,Scheduled A-Check,Closed,2023-04-11,2023-04-21,12,10,0.0,No Delay,83.9,209874.09,1524828.85,173486.31,DFT-95GC,54,Safe rich knowledge organization action around site site dream figure amount technology Mr thus.,True
WO000099,AC036,PT0224,TEC026,Line Maintenance,Closed,2024-10-04,2024-10-05,4,1,0.0,No Delay,13.2,52199.46,2989048.72,546441.55,DFT-47EC,35,Feel third today serve popular treat.,True
WO000100,AC018,PT0146,TEC042,Line Maintenance,Closed,2024-03-09,2024-03-14,4,5,0.5,No Delay,24.8,86511.63,2587884.21,481380.3,DFT-24EE,67,Final listen key color leg reflect charge.,False
WO000101,AC013,PT0165,TEC002,Scheduled C-Check,Cancelled,2024-04-25,,40,24,0.0,No Delay,148.5,383413.24,3188094.62,577773.33,DFT-46BC,29,Thought then within training leave speak raise claim.,True
wo000102,AC014,PT0176,TEC027,Scheduled A-Check,Closed,2024-12-31,2025-01-07,12,7,0.0,No Delay,51.7,110514.22,2197699.01,232715.0,DFT-40JA,39,Approach hair laugh hour great that coach agree race any.,False
WO000103,AC031,PT0093,TEC013,Line Maintenance,Deferred,2024-01-31,,4,1,0.0,No Delay,8.0,32620.6,4758703.77,505982.23,DFT-81EC,77,Administration Republican others art perhaps move dinner environment coach degree admit mention.,False
WO000104,AC007,PT0267,TEC043,Scheduled A-Check,Closed,2024-02-21,2024-03-10,12,18,6.0,Weather Hold,226.4,642739.26,4875111.35,688165.47,DFT-97DH,33,Keep bank feel human boy ten purpose Mr among.,False
WO000105,AC020,PT0102,TEC024,Modification SB,Closed,2024-03-07,2024-03-15,9,8,0.0,No Delay,47.2,177766.53,3726175.65,604947.05,DFT-47GB,76,View cup say trade show allow ground return.,True
WO000106,AC038,PT0244,TEC045,Scheduled A-Check,Closed,2023-03-23,2023-04-08,12,16,4.0,Part AOG,147.4,271316.65,3974008.08,672755.28,DFT-60BC,58,Morning them total thank safe her off.,True
WO000107,AC023,PT0079,TEC045,Scheduled A-Check,Closed,2024-01-31,2024-02-08,12,8,0.0,No Delay,80.0,292164.04,1698726.26,392136.05,DFT-71GF,54,Rule create stuff none size ready include without baby individual agent.,True
WO000108,AC025,PT0184,TEC047,Line Maintenance,Closed,2022-09-15,2022-09-21,4,6,1.5,No Delay,94.7,372087.37,3785920.64,750738.9,DFT-42AB,28,Research quickly age real international perform information while truth plan weight old.,False
WO000109,AC018,PT0284,TEC011,Line Maintenance,Deferred,2022-03-22,,4,8,3.5,No Delay,85.7,279843.24,2455559.06,428555.95,DFT-90DD,24,Huge issue heavy whether by enough future the suddenly make tonight eye minute.,True
WO000110,AC040,PT0187,TEC050,Unscheduled AOG,Cancelled,2024-07-09,,3,3,0.0,No Delay,31.5,95319.42,3881830.36,598941.95,DFT-27FC,59,Often cut value almost city either scene.,True
WO000111,AC021,PT0210,TEC042,Modification SB,Closed,2023-10-19,2023-11-01,9,13,4.0,Engineering Query,202.9,813920.02,957448.57,298161.04,DFT-81DF,40,Maybe agency already meet record data magazine arrive tree medical live ask arrive.,True
WO000112,AC003,PT0293,TEC042,Component Overhaul,Deferred,2022-07-17,,25,12,0.0,No Delay,54.3,235230.79,901407.61,117218.53,DFT-23BA,73,Group understand commercial hour pay development artist possible such property describe follow knowledge.,False
WO000113,AC032,PT0041,TEC030,Component Overhaul,In Progress,2024-09-30,,25,32,7.0,Weather Hold,354.7,685468.81,"₹1,111,406.69",308675.39,DFT-56GD,71,Administration front not treat road continue.,True
WO000114,AC005,PT0156,TEC005,Component Overhaul,Deferred,2024-01-10,,25,40,15.0,Weather Hold,587.4,2361037.61,3973305.39,670363.54,DFT-46IJ,80,Page yes point PM not human just.,True
WO000115,AC036,PT0213,TEC048,Scheduled A-Check,Closed,2024-11-29,2024-12-16,12,17,5.0,No Delay,115.1,326929.34,973666.04,215492.59,DFT-58HH,26,Fill nice ten difficult set space could probably development particular budget leg.,False
WO000116,AC039,PT0227,TEC060,Modification SB,Deferred,2024-07-28,,9,9,0.0,No Delay,131.3,295475.57,910178.73,168979.34,DFT-36BD,42,Like rather pull story effect bag spring civil.,False
WO000117,AC017,PT0185,TEC029,Unscheduled AOG,Closed,2023-10-27,2023-10-31,3,4,1.0,No Delay,55.7,148903.78,1211205.56,210222.07,DFT-47FI,48,Find television federal message structure two class.,False
WO000118,AC021,PT0012,TEC050,Modification SB,Closed,2022-01-01,2022-01-08,9,7,0.0,No Delay,78.0,249408.53,4967125.93,679110.18,DFT-53JJ,72,Provide wrong individual edge certain question outside bring.,False
WO000119,AC015,PT0132,TEC052,Component Overhaul,In Progress,2024-11-13,,25,39,14.0,Awaiting Inspection Sign-off,423.5,870112.62,2307245.33,367336.61,DFT-18HF,39,Send especially religious candidate only administration grow score.,True
WO000120,AC007,PT0154,TEC003,Component Overhaul,Closed,2024-03-29,2024-05-01,25,33,8.0,Manpower Shortage,162.6,435226.31,2417840.53,424615.2,DFT-69GE,66,Material reason new scene so will trouble home figure weight agreement realize authority.,False
WO000121,AC039,PT0006,TEC041,Scheduled A-Check,Cancelled,2022-06-10,,12,11,0.0,No Delay,89.9,360164.8,2088443.35,457358.64,DFT-13JE,69,Laugh believe ground newspaper half green full civil life fact.,False
WO000122,AC026,PT0229,TEC049,Unscheduled AOG,In Progress,2022-04-21,,3,1,0.0,No Delay,7.8,25937.07,1640889.82,282988.64,DFT-61IB,58,School speak tax memory five detail young dream.,True
WO000123,AC026,PT0257,TEC028,Line Maintenance,Closed,2023-03-31,2023-04-07,4,7,2.5,No Delay,40.4,109389.22,2384514.73,435264.81,DFT-67HG,69,Spend chair always respond senior federal bit buy boy.,True
WO000124,AC005,PT0137,TEC050,Line Maintenance,In Progress,2022-10-04,,4,4,0.0,No Delay,39.4,140306.19,988535.51,182420.46,DFT-93ED,47,Maintain reason rather it appear issue can federal.,False
WO000125,AC023,PT0227,TEC040,Scheduled A-Check,Deferred,2022-07-03,,12,12,0.0,No Delay,109.0,298707.0,"₹1,610,484.43",304301.66,DFT-56BC,29,Chance determine always she begin draw size amount beautiful just buy no.,False
WO000126,AC010,PT0148,TEC001,Scheduled C-Check,Closed,2022-04-02,2022-05-15,40,43,3.0,No Delay,252.5,951145.84,438214.05,241690.49,DFT-11JA,41,Company magazine central middle research town strategy my fight.,True
WO000127,AC040,PT0073,TEC045,Line Maintenance,Closed,2023-09-17,2023-09-18,4,1,0.0,No Delay,8.0,30384.28,1067257.81,169742.03,DFT-48AH,64,Hit too school buy customer audience rock light season.,True
